lot_number,lot_url,district,category,auction_settings,start_price,appraised_price,price_ratio,auction_count,is_suspicious,is_bankruptcy,no_discount,price_below_10pct,price_below_70pct,is_ultra_repeated,seller_lot_count
23331204,https://e-auksion.uz/lot-view?lot_id=23331204,Quva tumani,Tadbirkorlik va shaharsozlik uchun,Ijara huquqi (VM-71),4708750.0,24754184.5,0.19022036456098967,50,1,0,0,0,1,0,1911
23451439,https://e-auksion.uz/lot-view?lot_id=23451439,Qo`shtepa tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,4863561.0,24317805.0,0.2,52,1,0,0,0,1,0,3782
23464468,https://e-auksion.uz/lot-view?lot_id=23464468,Buvayda tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),4080668.66,20403343.32,0.1999999998039537,117,1,0,0,0,1,1,3782
23459769,https://e-auksion.uz/lot-view?lot_id=23459769,Rishton tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),1009251.0,5046255.02,0.199999999207333,282,1,0,0,0,1,1,3782
23365326,https://e-auksion.uz/lot-view?lot_id=23365326,Bag`dod tumani,Tadbirkorlik va shaharsozlik uchun,Yer uchastkalari mulk huquqi (71),4728750.0,9510764.0,0.4971998043479998,41,1,0,0,0,1,0,1911
23467111,https://e-auksion.uz/lot-view?lot_id=23467111,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),4039072.49,20195362.44,0.20000000009903263,51,1,0,0,0,1,0,3782
23334050,https://e-auksion.uz/lot-view?lot_id=23334050,Furqat tumani,Tadbirkorlik va shaharsozlik uchun,Ijara huquqi (VM-71),4218750.0,14475150.0,0.29144775701806197,43,1,0,0,0,1,0,1911
23459896,https://e-auksion.uz/lot-view?lot_id=23459896,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),3717717.74,18588588.72,0.19999999978481425,280,1,0,0,0,1,1,3782
23459501,https://e-auksion.uz/lot-view?lot_id=23459501,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),2832216.16,14161080.79,0.20000000014123218,302,1,0,0,0,1,1,3782
23465840,https://e-auksion.uz/lot-view?lot_id=23465840,Furqat tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),4978746.44,24893732.2,0.2,52,1,0,0,0,1,0,3782
23466667,https://e-auksion.uz/lot-view?lot_id=23466667,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),9682704.11,48413520.54,0.20000000004131077,52,1,0,0,0,1,0,3782
23333750,https://e-auksion.uz/lot-view?lot_id=23333750,Buvayda tumani,Tadbirkorlik va shaharsozlik uchun,Ijara huquqi (VM-71),4593750.0,15915750.0,0.2886291880684228,45,1,0,0,0,1,0,1911
23465729,https://e-auksion.uz/lot-view?lot_id=23465729,Rishton tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),3633721.2,18168606.0,0.2,28,1,0,0,0,1,0,3782
23272428,https://e-auksion.uz/lot-view?lot_id=23272428,Oltiariq tumani,Tadbirkorlik va shaharsozlik uchun,Ijara huquqi (VM-71),4635000.0,11859168.6,0.39083684163154575,25,1,0,0,0,1,0,1911
23465790,https://e-auksion.uz/lot-view?lot_id=23465790,Oltiariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),2111309.2,10556546.0,0.2,52,1,0,0,0,1,0,3782
23466039,https://e-auksion.uz/lot-view?lot_id=23466039,Furqat tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),2399313.32,11996566.6,0.19999999999999998,52,1,0,0,0,1,0,3782
23451360,https://e-auksion.uz/lot-view?lot_id=23451360,Dang`ara tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,6492960.14,32464800.72,0.19999999987678962,52,1,0,0,0,1,0,3782
23466118,https://e-auksion.uz/lot-view?lot_id=23466118,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),7598804.4,37994022.0,0.2,52,1,0,0,0,1,0,3782
23465856,https://e-auksion.uz/lot-view?lot_id=23465856,Furqat tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),3885709.6,19428548.0,0.2,52,1,0,0,0,1,0,3782
